Id,ValueAttribute,Value,StringValue,Measure,Type waarde,Beroepsklasse,Perioden,RegioCode,RegioS
270,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0845,Sint-Michielsgestel
271,None,46.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1883,Sittard-Geleen
272,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0610,Sliedrecht
273,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1714,Sluis
274,None,29.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0090,Smallingerland
275,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0342,Soest
276,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0847,Someren
277,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0848,Son en Breugel
278,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0037,Stadskanaal
279,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0180,Staphorst
280,None,12.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0532,Stede Broec
281,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0851,Steenbergen
282,None,24.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1708,Steenwijkerland
